firstname,lastname,placement
Wilhelm,Berg,5
Cesar,Holm,2
Patrik,Carlsson,5
Erik,Ydren,4
Ivar,Ulv,1
Quentin,Ulv,5
Olle,Eklund,2
Mats,Vinter,2
Ulf,Rydberg,2
Rikard,Jansson,3
Karl,Holm,4
Wilhelm,Vinter,2
Bertil,Andersson,4
Patrik,Ydren,2
Viktor,Magnusson,5
Adam,Pettersson,3
Ivar,Olsson,2
Fredrik,Ingmarsson,2
Mats,Lind,5
Wilhelm,Magnusson,4
Rikard,Rydberg,3
Viktor,Ulv,4
Torsten,Carlsson,2
Quentin,Pettersson,3
David,Holm,1
Nils,Berg,1
Adam,Vinter,1
Harald,Berg,1
Erik,Westerberg,1
Olle,Jansson,1
Erik,Jansson,5
Wilhelm,Andersson,5
Gunnar,Svensson,4
Olle,Holm,4
Erik,Thorn,5
Erik,Ulv,2
Ulf,Andersson,2
Lars,Berg,1
Samuel,Ulv,1
Adam,Berg,3
Harald,Gustafsson,4
Fredrik,Svensson,5
Harald,Xantesson,1
Cesar,Westerberg,2
Johan,Karlsson,4
Fredrik,Forsberg,2
Mats,Rydberg,3
Ulf,Gustafsson,1
Rikard,Pettersson,4
Karl,Olsson,1
Bertil,Lind,3
Fredrik,Carlsson,3
Samuel,Holm,2
Yngve,Ydren,3
Harald,Karlsson,2
Lars,Magnusson,3
Harald,Karlsson,4
Olle,Lind,4
Yngve,Karlsson,3
Olle,Ydren,4
Xander,Ingmarsson,2
Samuel,Eklund,4
Erik,Nylander,3
Erik,Zetterqvist,2
Ulf,Gustafsson,1
Bertil,Rydberg,2
Ivar,Ulv,2
Ulf,Dahl,1
Xander,Xantesson,1
Karl,Karlsson,2
Xander,Lind,5
Fredrik,Olsson,3
Johan,Westerberg,3
Patrik,Gustafsson,5
Rikard,Ydren,2
Adam,Nylander,4
Torsten,Vinter,3
Erik,Olsson,2
Samuel,Nylander,1
Cesar,Ydren,1
Xander,Lind,4
Ivar,Holm,3
Ivar,Magnusson,5
Torsten,Olsson,1
Xander,Eklund,3
Fredrik,Lind,5
Harald,Carlsson,4
Harald,Pettersson,5
Olle,Magnusson,5
Nils,Ingmarsson,5
Cesar,Westerberg,3
Mats,Karlsson,4
Gunnar,Zetterqvist,3
Wilhelm,Nylander,1
Rikard,Gustafsson,1
Nils,Carlsson,3
Ulf,Ydren,2
Harald,Forsberg,4
Adam,Nylander,4
David,Ingmarsson,1
Ulf,Holm,3
Xander,Zetterqvist,3
Ulf,Forsberg,5
Viktor,Rydberg,2
Harald,Ingmarsson,1
Viktor,Ulv,1
Viktor,Svensson,4
Wilhelm,Olsson,1
Yngve,Lind,4
Harald,Quist,1
Gunnar,Forsberg,1
Erik,Rydberg,1
Viktor,Ydren,1
Mats,Xantesson,5
Bertil,Holm,1
Lars,Ulv,4
Fredrik,Karlsson,2
Rikard,Ydren,1
Bertil,Berg,2
Fredrik,Andersson,3
David,Gustafsson,3
Mats,Dahl,1
Adam,Quist,5
Fredrik,Westerberg,4
Mats,Carlsson,3
Olle,Forsberg,2
Zackarias,Svensson,2
Ivar,Eklund,5
Mats,Westerberg,2
David,Quist,5
Ulf,Vinter,5
Torsten,Forsberg,1
Nils,Svensson,5
Quentin,Olsson,4
David,Holm,1
Erik,Thorn,5
Torsten,Nylander,3
Quentin,Westerberg,5
Johan,Forsberg,1
Patrik,Pettersson,5
Johan,Westerberg,1
Xander,Vinter,1
Zackarias,Ulv,1
Gunnar,Lind,1
Mats,Svensson,1
Samuel,Dahl,2
Zackarias,Thorn,1
Karl,Pettersson,3
Nils,Rydberg,3
Cesar,Carlsson,2
Ivar,Magnusson,2
Yngve,Gustafsson,4
Yngve,Karlsson,4
Adam,Pettersson,3
Harald,Ulv,2
Zackarias,Eklund,4
Samuel,Forsberg,3
Xander,Svensson,5
Karl,Pettersson,5
Karl,Berg,4
Viktor,Holm,5
Viktor,Andersson,2
Xander,Ulv,4
Johan,Rydberg,1
Adam,Ulv,3
Torsten,Lind,5
Harald,Karlsson,2
Quentin,Pettersson,2
Quentin,Jansson,5
Wilhelm,Olsson,2
Patrik,Jansson,5
Torsten,Holm,4
Adam,Gustafsson,5
Zackarias,Berg,2
Samuel,Andersson,4
Samuel,Xantesson,4
Karl,Olsson,4
Ivar,Olsson,4
Olle,Nylander,5
Harald,Jansson,5
Bertil,Magnusson,4
Erik,Dahl,4
Samuel,Zetterqvist,2
Adam,Karlsson,3
Harald,Rydberg,4
Nils,Quist,1
Xander,Ulv,4
Ulf,Eklund,5
Samuel,Karlsson,4
Gunnar,Pettersson,5
Quentin,Lind,1
Torsten,Zetterqvist,5
Lars,Andersson,2
Fredrik,Magnusson,1
Lars,Magnusson,1
Harald,Eklund,5
Nils,Zetterqvist,3
Ivar,Olsson,3
Patrik,Forsberg,3
Gunnar,Carlsson,5
Karl,Svensson,5
Rikard,Jansson,4
Gunnar,Quist,5
Ivar,Carlsson,5
Lars,Olsson,4
Quentin,Forsberg,1
David,Karlsson,3
Olle,Dahl,1
Karl,Ydren,2
Fredrik,Gustafsson,1
Gunnar,Magnusson,4
David,Vinter,3
Patrik,Carlsson,4
Erik,Rydberg,5
Rikard,Rydberg,5
Harald,Forsberg,1
Zackarias,Holm,1
Olle,Pettersson,3
Lars,Rydberg,4
Quentin,Thorn,3
Yngve,Lind,5
Quentin,Forsberg,3
Nils,Carlsson,4
Cesar,Westerberg,3
Quentin,Andersson,5
Yngve,Dahl,3
Adam,Dahl,1
Lars,Pettersson,1
Zackarias,Xantesson,5
Olle,Ulv,5
Gunnar,Ulv,2
Lars,Karlsson,3
Fredrik,Svensson,2
Viktor,Forsberg,2
Samuel,Pettersson,1
Fredrik,Nylander,1
Xander,Ingmarsson,2
Karl,Zetterqvist,5
Xander,Rydberg,5
Samuel,Quist,4
Gunnar,Forsberg,4
Yngve,Ingmarsson,5
Wilhelm,Lind,2
Torsten,Lind,3
Ivar,Andersson,2
Ivar,Carlsson,1
Bertil,Lind,5
Quentin,Ulv,5
Harald,Carlsson,5
Xander,Jansson,1
Karl,Karlsson,4
Lars,Zetterqvist,1
Wilhelm,Berg,3
Karl,Magnusson,2
Zackarias,Gustafsson,3
Olle,Andersson,1
Ulf,Karlsson,1
Quentin,Westerberg,4
Viktor,Svensson,3
Yngve,Gustafsson,3
Lars,Westerberg,1
Bertil,Ydren,5
Samuel,Nylander,3
Fredrik,Nylander,1
Torsten,Lind,3
Quentin,Xantesson,2
Viktor,Ydren,2
Karl,Pettersson,1
Lars,Ydren,3
Erik,Holm,2
Lars,Quist,2
Quentin,Zetterqvist,4
Olle,Ingmarsson,3
Torsten,Ingmarsson,1
Zackarias,Karlsson,4
Bertil,Quist,1
Mats,Ingmarsson,3
Samuel,Karlsson,3
Adam,Jansson,4
Gunnar,Magnusson,5
Cesar,Forsberg,4
Olle,Ingmarsson,5
David,Carlsson,4
Olle,Jansson,5
Samuel,Pettersson,1
Patrik,Ulv,5
Zackarias,Eklund,2
Xander,Ulv,5
Yngve,Olsson,3
Harald,Eklund,5
Karl,Berg,4
Zackarias,Jansson,5
Johan,Dahl,5
Olle,Ulv,1
Nils,Ydren,3
Patrik,Thorn,4
Xander,Quist,5
Johan,Ingmarsson,3
Xander,Lind,5
Patrik,Ingmarsson,5
Patrik,Berg,3
Cesar,Xantesson,4
Karl,Svensson,5
Gunnar,Forsberg,1
Rikard,Svensson,1
Erik,Ulv,1
Patrik,Gustafsson,4
Mats,Westerberg,5
Johan,Lind,1
Ulf,Karlsson,5
Olle,Carlsson,1
Erik,Lind,5
Quentin,Rydberg,5
Ivar,Gustafsson,1
Quentin,Magnusson,2
Quentin,Jansson,5
Rikard,Rydberg,4
Cesar,Andersson,5
Gunnar,Nylander,1
Wilhelm,Dahl,4
Bertil,Ulv,1
Adam,Ydren,2
Xander,Forsberg,3
Adam,Svensson,2
Viktor,Olsson,1
Ivar,Karlsson,3
David,Karlsson,2
Johan,Forsberg,1
Torsten,Rydberg,2
Adam,Magnusson,1
Yngve,Berg,3
Yngve,Pettersson,1
Xander,Svensson,3
Fredrik,Pettersson,2
Lars,Magnusson,3
Rikard,Xantesson,3
Lars,Berg,2
Adam,Carlsson,1
Cesar,Ingmarsson,2
Quentin,Ingmarsson,5
Xander,Gustafsson,2
Xander,Forsberg,3
Xander,Zetterqvist,4
Quentin,Lind,1
Zackarias,Rydberg,3
Rikard,Thorn,4
Samuel,Quist,3
Fredrik,Ingmarsson,2
Nils,Westerberg,1
Olle,Forsberg,4
Rikard,Olsson,4
Adam,Pettersson,1
Zackarias,Rydberg,5
Viktor,Svensson,4
